आफ्रिकाखण्डः	非洲
फलकम्:Country data United Kingdom of Great Britain and Ireland	Template:Country data United Kingdom of Great Britain and Ireland
वर्गः:Files licensed under CC-BY-SA 3.0	Category:创作共用署名-保持一致3.0图像
फलकम्:Zh icon	Template:Zh icon
फलकम्:Infobox Government agency	Template:Infobox Govt Agency
फलकम्:En	Template:En icon
फलकम्:Nbsp	Template:Spaces
फलकम्:Country data Russian SFSR	Template:Country data Russian SFSR
पाली	巴利 (拉賈斯坦邦)
फलकम्:Infobox river	Template:Infobox River
फलकम्:AllRovi title	Template:AllMovie title
फलकम्:Copyright by Wikimedia	Template:Non-free Wikimedia logo
फलकम्:BLACK	Template:BLACK
फलकम्:Bar percent	Template:Bar percent
फलकम्:Black	Template:Black
फलकम्:Str find	Template:Str find
पालिताणा	帕利塔纳
फलकम्:CURRENTISOYEAR	Template:CURRENTISOYEAR
फलकम्:Fr	Template:Fr icon
फलकम्:Twitter	Template:Twitter
फलकम्:Uw-create1	Template:Uw-create1
फलकम्:Country geography	Template:国家地理
फलकम्:Convert/-/AonSoff	Template:Convert/-/AoffSoff
फलकम्:Convert/±/AoffSoff	Template:Convert/±/AoffSoff
फलकम्:Coord/dec2dms/dm	Template:Coord/dec2dms/dm
वर्गः:कनेक्टिकट्	Category:康涅狄格州
फलकम्:Weather box/cold	Template:Infobox weather/cold
विकिपीडिया:Lua	Wikipedia:Lua
फलकम्:Taxobox colour scheme	Template:Taxobox colour scheme
फलकम्:WPMILHIST Infobox style	Template:WPMILHIST Infobox style
फलकम्:Non-free with permission	Template:Non-free with permission
फलकम्:Fossil range/marker	Template:Fossil range/marker
फलकम्:ICD9	Template:ICD9
फलकम्:User information templates	Template:User information templates
फलकम्:Check talk	Template:Check talk
फलकम्:Cite EB1911	Template:Wikisource1911Enc Citation
फलकम्:Infobox language/family-color	Template:Infobox Language/family-color
फलकम्:Wikisourcelang	Template:Wikisourcelang
वर्गः:नदी	Category:河流
फलकम्:Grey	Template:灰
फलकम्:Lang-gu	Template:Lang-gu
फलकम्:User sa-1	Template:User sa-1
फलकम्:Unbulleted list	Template:Unbulleted list
वर्गः:भारतस्य प्रधानमन्त्रिणः	Category:印度總理
फलकम्:Ndash	Template:Ndash
वर्गः:Barnstar award templates	Category:維基星章模板
वर्गः:भारतस्य केन्द्रशासितप्रदेशाः	Category:印度联邦直辖区
अस्तेयम्	無佔有
उत्तर-गारो-हिल्स्-मण्डलम्	北加若山縣
वर्गः:हिन्दु-उत्सवाः	Category:印度教节日
फलकम्:Umbox	Template:Umbox
वर्गः:नेपालदेशः	Category:尼泊爾
वर्गः:श्रीलङ्का	Category:斯里蘭卡
वर्गः:Speedy deletion templates	Category:快速刪除模板
फलकम्:FeaturedPicture	Template:Featured picture
वर्गः:रमोन् मैग्सेसे-पुरस्कारभाजः	Category:麥格塞塞獎獲得者
वर्गः:गोवाराज्यम्	Category:果阿邦
वर्गः:कर्णाटकम्	Category:卡纳塔克邦
वर्गः:छत्तिसगढराज्यम्	Category:恰蒂斯加尔邦
वर्गः:गुजरातराज्यम्	Category:古吉拉特邦
वर्गः:त्रिपुराराज्यम्	Category:特里普拉邦
वर्गः:पञ्जाबराज्यम्	Category:旁遮普邦
वर्गः:मध्यप्रदेशः	Category:中央邦
वर्गः:मिजोरामराज्यम्	Category:米佐拉姆邦
वर्गः:राजस्थानराज्यम्	Category:拉贾斯坦邦
वर्गः:हरियाणा	Category:哈里亚纳邦
वर्गः:उत्तरप्रदेशराज्यम्	Category:北方邦
वर्गः:मेघालयराज्यम्	Category:梅加拉亚邦
वर्गः:ओड़िशा	Category:奥里萨邦
बलिया	巴利亚
वर्गः:दक्षिण-अमेरिकादेशाः	Category:南美洲國家
फलकम्:India Districts	Template:Infobox India district
फलकम्:User bn-2	Template:User bn-2
फलकम्:Infobox cricketer	Template:Infobox cricketer
वर्गः:उत्तर-अमेरिकाखण्डः	Category:中美洲
फलकम्:MedalCompetition	Template:MedalCompetition
वर्गः:भारतस्य नगराणि	Category:印度城市
फलकम्:User other	Template:User other
वर्गः:User sa-0	Category:Sa-0 使用者
वर्गः:रामायणस्य पात्राणि	Category:羅摩衍那角色
फलकम्:Infobox language	Template:Infobox Language
वर्गः:आन्ध्रप्रदेशस्य प्रमुखनगराणि	Category:安得拉邦城镇
वर्गः:जम्मू-काश्मीरराज्यम्	Category:查谟-克什米尔邦
वर्गः:महाराष्ट्रराज्यम्	Category:马哈拉施特拉邦
वर्गः:अरुणाचलप्रदेशः	Category:阿鲁纳恰尔邦
वर्गः:हिमाचलप्रदेशः	Category:喜马偕尔邦
वर्गः:आन्ध्रप्रदेशराज्यम्	Category:安得拉邦
वर्गः:असमराज्यम्	Category:阿萨姆邦
गृञ्जनकम्	胡萝卜
फलकम्:Infobox rail	Template:Infobox rail
वर्गः:इटली देशस्य नगराणि	Category:義大利城市
फलकम्:Lang-or	Template:Lang-or
फलकम्:Country data Kingdom of Bulgaria	Template:Country data Kingdom of Bulgaria
फलकम्:Country data Kingdom of Hungary	Template:Country data Kingdom of Hungary
फलकम्:Country data Kingdom of Greece	Template:Country data Kingdom of Greece
फलकम्:Mojo title	Template:Mojo title
फलकम्:Height	Template:Height
फलकम्:Country data Kingdom of Italy	Template:Country data Kingdom of Italy
फलकम्:IndAbbr	Template:CountryAbbr
फलकम्:Infobox cricket tournament	Template:Infobox cricket tournament
फलकम्:Least	Template:Least
वायुः	空气
वर्गः:वेदाः	Category:吠陀
सरब्जित् सिङ्ग्	薩拉布吉特·辛格
सत्य नाडेला	薩帝亞·納德拉
वर्गः:भारतस्य राज्यानि	Category:印度一级行政区
फलकम्:Dmbox	Template:Dmbox
वर्गः:हरितकानि	Category:葉菜類
वर्गः:महाभारतम्	Category:摩訶婆羅多
वर्गः:धार्मिकपर्वाणि	Category:宗教節日
फलकम्:Infobox former country/event	Template:WPFCevent
फलकम्:PD-India	Template:PD-India
फलकम्:स्तम्भः-2	Template:Col-2
फलकम्:Convert/Dual/LoffAoffDxSoffT	Template:Convert/Dual/LoffAoffDxSoffT
फलकम्:Convert/numdisp/frac1	Template:Convert/numdisp/frac1
फलकम्:CountryAbbr2	Template:CountryAbbr2
फलकम्:Country data Commonwealth of Independent States	Template:Country data Commonwealth of Independent States
फलकम्:Country data Singapore	Template:Country data Singapore
फलकम्:Infobox color	Template:Infobox color
वर्गः:एशियाखण्डस्य राष्ट्राणि	Category:亚洲国家
फलकम्:Style	Template:Style
फलकम्:Earth	Template:地球
फलकम्:Infobox football league	Template:足球聯賽資料
फलकम्:User kn	Template:User kn
फलकम्:UF-hcard-geo	Template:UF-hcard-geo
फलकम्:OMIM2	Template:OMIM2
फलकम्:Lang-te	Template:Lang-te
फलकम्:Lang-pa	Template:Lang-pa
फलकम्:Lang-ml	Template:Lang-ml
फलकम्:Lang-kn	Template:Lang-kn
फलकम्:Lang-gd	Template:Lang-gd
फलकम्:भाषा-स्पैनिश	Template:Lang-es
फलकम्:Lang-bn	Template:Lang-bn
वर्गः:उत्तराखण्डराज्यम्	Category:北阿坎德邦
फलकम्:DiseasesDB2	Template:DiseasesDB2
फलकम्:ROC-TW	Template:ROC-TW
फलकम्:Country data Manchukuo	Template:Country data Manchukuo
फलकम्:Country data Italian Social Republic	Template:Country data Italian Social Republic
फलकम्:User or	Template:User or
फलकम्:Di-no license	Template:No license
फलकम्:No redirect	Template:Noredirect
वर्गः:बिहारराज्यम्	Category:比哈尔邦
वर्गः:उत्तर-अमेरिकाखण्डस्य देशाः	Category:中美洲國家
फलकम्:Multicol	Template:Multicol
वर्गः:हिमाचलप्रदेशस्य प्रमुखनगराणि	Category:喜马偕尔邦城镇
वर्गः:भारतस्य मण्डलानि	Category:印度各邦辖县
वर्गः:उत्तरप्रदेशस्य मण्डलानि	Category:北方邦辖县
फलकम्:Lang-mr	Template:Lang-mr
वर्गः:भारतस्य राज्यानि फलकम्	Category:印度行政区划模板
वर्गः:भारतीयपुरस्काराः	Category:印度奖项
वर्गः:भारतीयक्रिकेट्-क्रीडापटवः	Category:印度板球运动员
फलकम्:Infobox Holiday	Template:Infobox Holiday
वर्गः:संस्कृतभाषा	Category:梵語
फलकम्:Infobox economist	Template:Infobox Economist
फलकम्:गुजरातराज्यम्	Template:Gujarat
वर्गः:गुजरातराज्यस्य प्रमुखनगराणि	Category:古吉拉特邦城市
वर्गः:जम्मूकाश्मीरराज्यस्य प्रमुखनगराणि	Category:查谟-克什米尔邦城镇
